Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,16,2017-07-14,15:00,7389941,fxKbsIvYb,Finished,Posta Rangers,PRA,213605,Nzoia United,NZO,246033,2,2
Kenyan Premier League,2017,16,2017-07-14,15:00,7389942,Wufbsavfb,Finished,Western Stima FC,WST,138500,Tusker,TUS,138496,1,1
Kenyan Premier League,2017,16,2017-07-15,14:00,7389932,YufbsFRid,Finished,Dandora Love,DLO,397130,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2017,16,2017-07-15,15:00,7389925,IDFszufb,Finished,Bandari FC,BAN,138474,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,2017,16,2017-07-15,15:00,7389926,exKbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,16,2024-09-30,15:44,7389947,gLdbsJufb,Canceled,Muhoroni Youth FC,MUY,138484,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,2017,16,2017-07-15,15:00,7389936,NufbsRufb,Finished,Thika United,TUN,138492,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2017,16,2017-07-15,16:15,7389937,HufbsPufb,Finished,Mathare United,MAU,138482,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,2017,16,2017-07-16,15:00,7389935,BufbsnTid,Finished,Zoo F.C.,ZFC,397163,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,2017,16,2017-08-19,15:00,7532091,gLdbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2017,17,2017-07-28,15:00,7389934,zufbsPufb,Finished,Sony Sugar,SSU,138490,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2017,17,2017-07-29,14:00,7389944,JufbsNufb,Finished,Sofapaka,SOF,138488,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,17,2017-07-29,15:00,7389940,BufbsRufb,Finished,Chemelil Sugar,CSU,138476,Thika United,TUN,138492,0,0
Kenyan Premier League,2017,17,2017-07-29,15:00,7389938,HufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Mathare United,MAU,138482,1,1
